column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Gallons of Fuel Per Block Hour,1049.5155085349973,1053.3647459146093,1052.524522345727,1050.1405598015638,1049.5284952921038,1072.825178676673,1106.3265139661085,1104.759408964213,1013.4213538957905,1065.2075732695037,1043.9299627568403,1022.2854393367385,1004.0503491780331,1006.8404233204195,1014.8125438531323,1034.012037037037,1042.5045812339747,941.5398166169522,941.4445366946899,923.3542312369145,904.0469388789278
Load Factor,0.6778385575817718,0.6855938911286462,0.6969235826234099,0.7134939593704239,0.711822510685776,0.7255979974606018,0.7053140898642761,0.7117906334395966,0.7616678847249607,0.7745687653933603,0.8105465708375201,0.8085206398930996,0.8263841177766853,0.825741939581082,0.8432505523385295,0.8592288342901958,0.8787858619623334,0.8424199089286927,0.8515466636203678,0.8524565110835193,0.8574469562376872
Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
Block Hours ,10.567434620174346,10.88712382230082,11.13359697897773,11.37445577451879,11.234345696291111,10.83280361324858,10.093925901033353,9.960431553082723,9.124318026824279,10.125979369821318,10.691024263333523,11.446688320858634,10.956390340347408,10.464896171775674,10.30010769753996,10.389639960153692,9.600516425190072,10.323491624654416,10.141164741527701,10.262592459380425,10.469641881875633
Airborne Hours,9.361301369863014,9.63560691526664,9.850673485772056,9.97946264894592,9.766550034989502,9.42090442734471,8.848693606653784,8.713474736633998,8.377045919527166,7.430274505383011,9.389938351903174,11.162349950571954,10.982149413924587,10.498912275745163,10.33612969051128,10.41166927565106,9.645043752689714,10.326174987802895,10.13506608821628,10.26231097627723,10.470266052898493
Departures,3.173692403486924,3.251272982284965,3.351669590556332,3.603918423464711,3.593561931420574,3.256022080963533,3.029516368422527,3.076651509588499,2.776682200500114,2.9801589538357476,3.1343532605621856,3.255218189521254,3.0820788024290353,2.9354428591608985,3.0563144768166874,3.05740714387363,2.7638789269832165,2.8513986013986017,2.7713121840656134,2.7951428526748714,2.8915580869158144
Widebodies,5039.931036660014,5424.0679103754655,5375.936888160951,4947.6751236930295,4803.635371653574,5630.542969072651,5882.481598516827,5885.229826693526,5529.934898417108,5890.390277459298,7200.253231911105,7747.360722769277,7986.431333035204,10946.046874881524,7054.399218417053,8451.996824033478,9989.580815108939,10666.936413670082,10603.877666819684,10567.407738183108,8373.220591432615
(Ex Fuel),3584.2836547062398,3713.3391920505974,3767.512238832425,3662.8088871695445,3572.0336887166186,3885.587395424027,4051.36465493962,4312.7158006892305,3728.8095492497678,3369.2070626003206,3411.86694449677,3279.2703611723773,3260.444439412723,3376.41508003306,3423.618761207111,3419.2222277707315,3669.6703693577156,3778.7088400153734,3964.575920170376,4256.025538070918,4279.589617034255
Pilots,976.976557375324,1101.5334154476384,1231.4325054855242,1274.1817377968748,1246.5889350042794,1342.5430988707565,1602.4363705847888,1741.924850583515,1291.2303664921467,1083.6156844760376,901.6862060461061,879.9681222008031,899.8171598068574,1003.3495598371284,1055.1048141328208,1018.8785841980683,953.7079009332904,1233.1295728280652,1350.1168998291728,1621.477783354492,1577.2475625217064
Salaries and Wages,758.6967121394421,858.4410506940504,990.3960244924351,979.7455062932619,949.3814891923612,994.4437561211606,1081.501870547678,1131.131902708642,739.2406850548746,652.9309791332263,583.6141087460165,581.0153426381002,594.9948204713088,646.8745023998545,655.7155263221376,654.3902044403607,684.019800283211,836.9915957855657,922.4856302160546,1086.772238788344,1096.3773693587873
Pilot Training,35.98476211857064,30.564512780768645,35.102432011501136,31.62519515329032,37.9065511333744,38.060344318972945,48.69740713192691,47.98308555446418,31.947857677102256,20.993350149048382,15.570655392926984,11.876988744358188,13.663011749699512,15.073967076878748,20.824119714062864,13.723611014012205,17.423188204711753,16.718513200925262,24.8107432854466,36.03486758584038,56.078095308013125
